text,HATE,NOT,OFFN,PRFN,Race,Religion,Gender,Other,None
yeah right you are all niggers nope you are all sand niggers open your borders jews are gods chosen,1,0,0,1,1,1,0,0,0
i stole a parking spot from a white boy this morning happy october,0,1,0,1,0,0,0,0,1
a little still learning not many speak it anymore lots speak arab and nigger though is amadn,1,0,0,1,1,0,0,0,0
derek the half nigger is mad tho,1,0,0,1,1,0,0,0,0
this propaganda campaign worked with gay marriage the supreme court overturned the will of the people and christians are now being persecuted by their own government that was always the gay marriage endgame and a helpless populace is gun control endgame,0,1,0,1,0,0,1,0,0
i did not mention genitalia obviously you are obsessed with nigger dick get help,1,0,0,1,1,0,0,0,0
welcome to modern britain the country where freedom of speech being white heterosexual male female non muslim is now classed as being racist fascist homophobic islamophobic made up word the country is falling,0,1,0,1,0,0,0,0,1
guess the jews thought that it was the name fox that made people tune in,0,1,0,1,0,1,0,0,0
why do ii hate you damn it just too many reasons,0,1,0,1,0,0,0,0,1
kike dike kathy schrock is leading educators all over the nation in ed tech a movement to get your kids more engulfed in techno addictions ed tech also pushes children away from local traditions into the curriculum models of silicon valley altrighteducation,1,0,0,1,0,1,1,0,0
got mad at me because i told him he was gay in th grade was i serious yes is he gay yes,0,0,1,1,0,0,1,0,0
more incoherent rambling from a kike who lost the argument,1,0,0,1,0,1,0,0,0
i would support hezbollah if only they would support palestine turning a blind eye on their fellow arabs makes them complicit i am going to,0,0,1,0,1,0,0,0,0
every female in boston think they better than everybody else lmao bitch humble ya self you look fuckn ridiculous,0,0,1,1,0,0,1,0,0
why do we call them immigrants they are illegal refugees,0,1,0,0,0,0,0,1,0
oh muslim leaders of today do you think that you will be not asked about not fulfilling your duty of jihad in the day of hashar believe me its your misconception,0,1,0,0,0,0,0,0,1
it the typical leftist play call right wing hate speech out even if the person is only speaking pure facts but allow minority and mentally ill people to call for and actually plot violence against the right and say those people have free speech they are criminals,0,0,1,1,0,0,0,1,0
the politically correct giphy picture library is lame everything is poz cuck fag related few good gun pics but easy to find video games hollywood propaganda and faggot pics like this,0,0,1,1,0,0,1,0,0
i hope san francisco sinks into the pacific ocean you fcking sanctuary stench hole for queers illegal criminals this hispanic piece of shit gets off with time served i wonder how long kate steinle will be dead,1,0,0,1,1,0,1,0,0
katie hopkins defended sexual harassment just yesterday and right after that i saw sy tweet two seemed so similar one was doing it for love of ik and other for love of bj,0,1,0,1,0,0,0,0,1
lol pelicans are retarded,0,1,0,1,0,0,0,0,1
don lemon is retarded,0,0,1,1,0,0,0,0,0
gosh osu has a lot of closeted nazis,0,0,1,1,0,0,0,0,1
all you talk about is nigger cocks me thinks you suck and get fucked by nigger cocks regularly closeted homo,1,0,0,1,1,0,1,0,0
i respect any nigga getting to it idc how you make your money my gee just feed them babies,0,1,0,1,1,0,0,0,1
thanks for admitting publicly what some of us have long known all the anti israel human rights propaganda is a bullshit cover for jihad your drive is obviously not rights it religious supremacism period you are a jihadi who gives moral cover to the violent kind,0,1,0,1,0,0,0,0,1
i hate everything about this film not to mention it basically validating radical white violence as a result of being forgotten by society,0,1,0,0,0,0,0,0,1
i guess the nigger wasn t around to pez her so she wised up and jumped,1,0,0,1,1,0,0,0,0
omg we re so gay,0,1,0,1,0,0,1,0,0
but those motherfuckers that beat that retarded white boy are a o fucking kay right sorry i just fucking loathe hypocrisy,0,0,1,1,0,0,0,0,1
i am watching the hulu fyre doc and i am jarule is a true nigger coon,1,0,0,1,1,0,0,0,0
now now you naughty little slut,0,0,1,1,0,0,0,0,1
all sand niggers,1,0,0,1,1,0,0,0,0
why does bradford have so many pakis and brighton have so many queers brighton had first choice,0,0,1,1,0,0,1,0,0
this nazi should have died yrs ago why is he still breathing,0,1,0,1,0,0,0,0,1
hiring a cleaning lady as a woman is ghetto debate your mom,0,0,1,0,0,0,0,0,1
i have zero tolerance for white nationalists misogynists transphobes islamophobes rape and sa apologists nice guys tm racists and ableists if you feel like any of this applies to you please fuck off,0,1,0,1,0,0,0,0,1
consider the sorry state of ca we have a commie government middle class ppl r leaving and eventually the imported dreamers will try to burn the state down for instance a wetback illegal has just been appointed to a government position,1,0,0,1,1,0,0,1,0
is our president mentally retarded,0,1,0,1,0,0,0,1,0
that cranberry bullshit is just some ghetto jello,0,1,0,1,1,0,0,0,0
just remember that the bitch commie girlies and their low iq muds are going to slink beneath the shield of the cuckservatives and alt lite when their independent operation folds like a congolese coup then we will have our civil war with someone who can fight,0,0,1,1,1,0,1,0,0
crime in south africa is affecting everyone not white women if you pay attention to thesussextour you will realize that duchess has spoken about gender based violence the focus is all women not white women stop looking at issues with a racist eye but how they affect everyone,0,1,0,1,0,0,0,0,1
its derogatory like if a white person called every blacc female shaniqua just because they blacc,0,1,0,0,0,0,0,0,1
flaw ass niggas and bitches,0,1,0,1,0,0,0,0,1
thinking about how i can be more unapologetically queer,0,1,0,1,0,0,0,0,1
now there we have respect for those boys in orange the buddist culture ultra sleak kung fu with super discipline man power in peace in flames they harness complete inner peace in meditation not exactly sandnigger pyramid money and domination vibes,0,0,1,1,1,0,0,0,0
jay why do not you watch queer eye they asked you should watch it it gay feel goods they insisted stares directly into the camera,0,1,0,1,0,0,0,0,1
karma is a bitch,0,1,0,1,0,0,0,0,1
black man locked up and y all can tell but bring up them fuckin immigrants we do not care,1,0,0,1,1,0,0,1,0
lmfao this aka thing is so funny who tf do you all think you all are ndingayoyithatha eyam imali,0,1,0,1,0,0,0,0,1
wotta day for putting the flag on top of your car and drive through the caliphates playing onwards christian soldiers full blast on a ghetto blaster,0,0,1,0,0,1,0,0,0
more white people are going to get red pilled by the media outrage at it okay to be white and more posters will go up awesome,0,0,1,0,1,0,0,0,0
are not you the guy who wrote an article about the alt right and used a year old picture of goobers from the american nazi party as a caption seems pretty hackish to me,0,0,1,1,0,0,0,0,1
if even one american is killed in chicago by an illegal alien that is protecting that family should sue her into homelessness,0,1,0,1,0,0,0,0,1
maria l year old medicine student from germany raped and killed by a muslim refugee,0,1,0,1,0,0,0,0,0
should have never been a national news story to begin with it is only to push the rise of hate during trump presidency narrative which is a lie the media and blavity blacks are orgasmic for these type of stories,0,1,0,1,0,0,0,0,1
ok look for the nigger muzrat with swollen balls,1,0,0,1,1,1,0,0,0
you have a blue checkmark and thousands of followers yet you feel the need to reply to a guy with like followers who you think is a gay nigger jew,1,0,0,1,1,1,1,0,0
white christian civilization is the most welcoming of others unlike blacks asians muslims,0,1,0,0,1,0,0,0,0
in we have to set up video outside the ghetto polling places so we can count the number of people entering and leaving it literally would not surprise me if almost nobody actually votes in these precincts and it just fraud,0,1,0,1,0,0,0,0,0
people who ship kylorey just want to justify their own relationship with their nazi boyfriend,0,0,1,1,0,0,0,0,0
you can really tell that gefilte fish was invented by a gay little frog that the peak of juliebait,0,1,0,1,0,0,0,0,1
i have some pictures of arabs getting kicked up the arse but when i look for them i see some meme and decide to just post that i think i remember the congo edition lol,1,0,0,1,1,0,0,0,0
these people are so keen on keeping illegal immigrants and self destructing themselves,0,1,0,0,0,0,0,1,0
stahp to try to kill yourself most favorit meatbag damnit x,0,1,0,1,0,0,0,0,1
i would love to shoot a nigger in the head while jabbing an ice pick into a kikes eyesocket,1,0,0,1,1,1,0,0,0
chain migration when an immigrant to the united states sponsors other family members for admission such as parents children and siblings who can then sponsor other immigrants themselves and so on,0,1,0,1,0,0,0,1,0
was a useful tool for a few months bringing new ideas to homosexual worshipping millennials he a gateway drug,0,1,0,1,0,0,1,0,0
using your theory let us take it to the conclusion murdering blacks is was not right but murdering whites today is also wrong as well brutal gang torture rape of white women in still wrong,0,1,0,1,0,0,0,0,1
that is because asians and whites are prejudiced and do not being laying up with ghetto rats well i am okay you are okay whitish liberal trust fund babies do not count,0,0,1,0,1,0,0,1,0
nice ching chong hat,1,0,0,1,1,0,0,0,0
i have change and love everyone even your gay nazis whitesupreamist so jesus says turn your cheeks but i still turn back and fuck that asshole up lmfao,0,0,1,1,0,0,0,0,1
congress is a jihadi party they have no issues talking to them,0,1,0,0,0,0,0,0,1
do not be stupid while hindus sikh and christian are coming here in india for saving there life the muslim are just illegal immigrants sucking our tax money,1,0,0,1,0,1,0,1,0
bowl hair cut is hate numbers are hate ok sign is hate anti anti fa symbol hate antisemitism is about to mean jail time holocaust denial will soon mean jail time i did not know i was living in bolshevik russia,0,1,0,1,0,0,0,0,1
urban renewal is easy to achieve just ship asians and whites in en masse oh but they will not want to come if ghetto blacks are still there,0,0,1,1,1,0,0,0,0
what is ppl views on paki men muslim men rapping white uk girls,0,0,1,1,0,0,0,0,0
yep it in the genes trashy diane shagging a raghead now her son hooked up with a mud time to abolish royals when qeii moves on they are such chavvy trailer trash prince harry,0,0,1,1,0,0,0,0,0
i always do everything last minute i fucking hate that shit already never again,0,1,0,1,0,0,0,0,1
holy fucking shit jizzy you look like mark cale i am fucking confused are you or are you just a retard or a window licking anus tickling retard,0,0,1,1,0,0,0,0,1
this should be fun post colonial immigrant european america receiving their own medicine,0,1,0,1,1,0,0,0,0
you used the term arab to describe all moslems i pointed out not all arabs are moslems and not all moslems are arabs and you got butthurt runalongsnowflake,0,1,0,1,1,1,0,0,0
white hall senior school staffs wish fellow nigerians happy independence day,0,1,0,1,0,0,0,0,1
my personal emotion fueled opinion is if you see a sexual assault on campus knock them out professionally i say make sure you do what you can to make sure you do what you can to make sure these creeps are identifiable because violence only begets violence,0,1,0,1,0,0,0,0,1
chopra is a curry nigger who utters meaningless new age platitudes like only you can poison your soul,1,0,0,1,0,0,0,0,0
same with arabs loll i am arab but white af,0,1,0,0,0,0,0,0,1
niggas is fucking pussy whole dick riding bitches do not come around here with that faggot shit you peon,1,0,0,1,1,0,1,0,0
city full of moslem jihadists are furious after being called a city full of moslem jihadists,1,0,0,0,0,1,0,0,0
thoen deadass charged como que le iba hace algo al tipo but a for effort my guy,0,1,0,1,0,0,0,0,1
twatter says i engaged in targeted harassment and denied my appeal did not provide the tweet or who i supposedly harassed,0,1,0,1,0,0,0,0,1
get a load of this retard,0,0,1,1,0,0,0,1,0
exactly i d rather die than have a nigger or sandnigger doctor,1,0,0,1,1,1,0,0,0
why don t white boys with curly hair comb it looks like a bird nest,0,1,0,0,1,0,0,0,0
duh a retard screams and is silenced how is this news,0,0,1,1,0,0,0,1,0
maybe she thinks jesus is black too that reads as insecure spiteful nigger talk to me,1,0,0,1,1,0,0,0,0
my intuition is that ricky is not white which is why he has not posted his face or even done a dna test explains his devotion to trump and civnat as well,0,1,0,1,0,0,0,0,1
perhaps because she a screaming ugly overweight retarded black nigger whose favorite snack is a buffalo turd,1,0,0,1,1,0,0,0,0
i am in redneck country right now and the decorations are a whole lot better than that tbh,0,1,0,1,0,0,0,0,1
i wonder how long until they can get the nigger stink out of the white house,1,0,0,1,1,0,0,0,0
ok i understand but if you were raped you are aware what happened so why not take plan b as soon as possible after these unwanted instances,0,1,0,1,0,0,0,0,1
when you hear that clergy sexually assault children remember that blacks are clergy too blacks have the highest rates of child sexual abuse,1,0,0,1,1,0,0,0,0
i would invest in gab but contrary to popular belief i do not really like being called a nigger online,0,1,0,1,0,0,0,0,1
ion know why bitches be so shameless to be on some fan behavior shit,0,0,1,1,0,0,1,0,0
tryna let time kill all our memories all you meant to me all our history all that history,0,1,0,1,0,0,0,0,1
maybe it a sign from god that anglin really is a nigger,1,0,0,1,1,0,0,0,0
wa alaykum essallam yeah lmfao i just said that cuz some ppl think that all arabs are muslims,0,1,0,1,0,0,0,0,1
this is a nigger free zone,1,0,0,1,1,0,0,0,0
i have not said it enough but fuck white bitches,1,0,0,1,1,0,1,0,0
honestly if you read general media like this story about nigger baccardi you would assume writing lies produced orgasms or else you d have to come up with some other reason that plain fact is the last thing you ever get in any systemedia article,1,0,0,1,1,0,0,0,0
basically an early version mentioned every victim of the holocaust except the jewish people,0,1,0,1,0,0,0,0,1
i watched and what do you know they had a case about being raped and assaulted at the standard hotel by a weinstein type anybody else see that maga we woke,0,1,0,1,0,0,0,0,1
is my favorite half kike half nig,1,0,0,1,1,1,0,0,0
when he calls you his retarded cum dumpster,0,0,1,1,0,0,0,0,1
with all the violence at uc berkeley i kind of wonder why the uc police have not started shooting people yet also i wonder how many millions of breitbart is going to sue for and i wonder if trump will cut their funding over this,0,1,0,1,0,0,0,0,1
yes but not by the guy who raped her hence the complaint it something of a tautology women want to be raped by men they want to be raped by,0,0,1,1,0,0,1,0,0
biggest coward chinaman satanist lee hsien loong criminals had audible talks past few years it started in he got his criminals to loiter at my address they gossiped false information around and marsiling lane singapore,0,1,0,1,0,0,0,0,1
such a upstanding citizen this nigger so much talent beating his pregnant girlfriend,1,0,0,1,1,0,0,0,0
a white ethnostate just without white women to a degree similar to ancient athens there ll be several rings of living space the inmost reserved for white men not the irish slavs jews italians balkans new worlders etc,0,1,0,1,0,0,0,0,1
god speed to whoever has to interview him,0,1,0,1,0,0,0,0,1
the boomer toughguy became my object of general loathing after observing one on a train casually interacting with a sulking sheboon and going out of his way to call her ma am one obsequious instance after another,1,0,0,0,1,0,0,0,0
interesting all these females in the photo look like men are you sure they are not dykes in disguise,0,0,1,1,0,0,1,0,0
my mom told scarlett she should take care of her teeth so she won t have to get gold teeth because that ghetto,0,0,1,1,0,0,0,1,0
whoever took good news off soundcloud your mom is a fucking hoe,0,0,1,1,0,0,1,0,0
america always was and always will be a white mans land all the jews and mud must leave or be forced out,1,0,0,0,1,1,0,0,0
why would anyone watch whigger garbage like this show in the beginning,0,0,1,1,1,0,0,0,0
what has happened to all of you faggots missing me i have lived in brighton for one week,0,1,0,1,0,0,0,0,1
i have been looking through historical photos and have noticed that some women do not look very happy when wearing red jfk wife for example,0,1,0,1,0,0,0,0,1
exactly right in fact the only immigrants to assimilate in less than generations are the asians due to their propensity to over achieve the black population was kept from assimilating by democrats,0,0,1,1,1,0,0,1,0
hank hill the propane gas salesman sorry dude mike judge the creator of beavisandbutthead already beat your dumb faggot retard ass to it kingofthehill,0,0,1,1,0,0,1,0,0
labor thinks that we care more about illegal immigrants on manus and nauru than we do this labor are in for a big shock,0,0,1,1,0,0,0,1,0
a white boy that can not shoot i be mad as hell i can shoot better then one of they ass,0,1,0,1,0,0,0,0,1
just how many niggers has david duke defeated in a knife fight did heimbach show you all the bullet holes that niggers have put in him and have many times has spencer been ass raped by a nigger and no you can not count the times money was exchanged beforehand mpcstatusupdates,1,0,0,1,1,0,0,0,0
women and girls it has been confirmed by new research you are at increased risk of sexual violence in target stores avoid jps,0,1,0,1,0,0,1,0,0
a jew did not tell the truth some kike sympathizing cuck shilled and virtue signalled and then a kike reposted it and called it truth,1,0,0,1,0,1,0,0,0
niggas love acting like they know more than you,0,1,0,1,0,0,0,0,1
are we going to let this confused dyke bully cunt stroke the dick she does not have this wo man will always be a problem if she is not put back in place smug face and arrogance mixed with false confidence is not a good combination for ugly people,1,0,0,1,0,0,1,0,0
what flag goes on top now the russian one the nazi one the traitorus rebel flag the turkish one or old glory,0,1,0,1,0,0,0,0,1
omg lol i fucking hate this meme,0,1,0,1,0,0,0,0,1
is it women or gays you have not understood d d d seriously behind the tolerant speech they all make fun of them and treat them as retarded kids,0,0,1,1,0,0,1,1,0
jews started terrorism murdering and bombing in jerusalem jews are fucking arabs,0,0,1,1,1,1,0,0,0
the main reason you do not come here much is because any time you post anything you are immediately outed for the filthy kike you are,1,0,0,1,0,1,0,0,0
that not the fuxking point you embicile even the small percentage of whites that practice islam are still prone to terrorism you denied ideology role saying there is not an involvement when your fellow white converts are engaging in terrorism once they convert to islam,1,0,0,1,0,1,0,0,0
omg you take uber by yourself you could get raped ok bitch pay attention to your surroundings,0,0,1,1,0,0,1,0,0
can you guys say nigger without getting arrested lol,0,0,1,1,1,0,0,0,0
there a big difference asia is full of asians with nobody screaming for diversity africa is full of africans etc other groups have reserve populations we do not north america europe and australia are our home populations,0,0,1,1,1,0,0,0,0
i am so sick of these blacks acting all ghetto like little kindergarteners throwing a fit with no manners they can not be any more obvious that they feel inferior and insecure and racist keep it up and you will keep getting treated the same you get what you put out,1,0,0,0,1,0,0,0,0
so why is it gay pride month and black history month do the gays have no history and the blacks have no pride or the other way around,0,0,1,1,1,0,1,0,0
number of reported deaths total civil war causalities jewish holocaust deaths think about how ridiculous that sounds,0,1,0,1,0,0,0,0,0
i need some airpods bc i m tired of not being able to listen to music and charge my phone at the same time lmao how ghetto,0,1,0,1,0,0,0,0,1
is a fucking retard,0,0,1,1,0,0,0,0,1
little dogs always look like they hate you,0,1,0,0,0,0,0,0,1
wonderful idea syrian refugees living here in the uk will love to be trained in bomb disposal to enable them to re establish their life in their homeland,0,0,1,1,0,1,0,0,0
would love to see libtards get in this new social media arena so they can actually handle truthful mocking insults without getting their faggot panties twisted and reporting comments like the sackless bitches they are,0,0,1,1,0,0,0,0,0
biches be acting like jigaboo,0,0,1,1,1,0,0,0,0
what can i say about the barcelona attack that has not already been said any objective person watching the reaction to charlottesville vs barcelona can only conclude that the left wants less white people and more muslims to replace them,1,0,0,1,0,1,0,0,0
imagine believing in white privilege as whites are ethnically cleansed in their own countries imagine not knowing why whites must learn to fly not be weighed down by the shitskin undertow by guilt by lies trust in your whiteness,1,0,0,1,0,0,0,0,0
trending again why does not the donald bitch slap kim jong hippo,0,0,1,1,0,0,0,0,0
other than questioning that islam is not peaceful and that queers are not born that way,0,1,0,1,0,0,0,0,1
strawman i said my allies you said all woke wimmenz do not use kike sophistry it gross,1,0,0,1,0,1,0,0,0
if a pussy nigga sneeze we gon bless them,0,0,1,1,1,0,0,0,0
peaches really the biggest crackhead i have ever seen on god this person is retarded i really think she has a mental issue bcs,0,0,1,1,0,0,0,1,0
it means that they hate gay people but feel uncomfortable admitting so in front of a queer person,0,1,0,1,0,0,0,0,1
you mean red pills like it ok to fuck half nigger apes and an ethnostate can not work in america because muh magic dirt that not a red pill cuck faggot that jew bullshit that she been pushing from the beginning if you think that helpful kys,1,0,0,1,1,0,1,0,0
here how we solve the problem of flirting sexual harassment remove women from the workplace and education restore the traditional family done,0,1,0,1,0,0,1,0,0
doing what a nigger does best fucking shit up,1,0,0,1,1,0,0,0,0
larry says at a closet raghead is certainly a possibility i would not rule out and where in the philippines is the girlfriend originally from if she from zamboanga or cotabato that would raise a big red flag because that raghead territory,1,0,0,1,1,0,0,0,0
kike jags up by tds how dose that feel lmfao,0,0,1,1,0,1,0,0,0
what you need to understand is that when muzzies attack it will not be fighting in the street all that noise it will be a sharp rise in murder rates across the country our own leos will keep us from retaliating,1,0,0,1,0,1,0,0,0
woke up to ncr propaganda spray painted onto my trailer this means war kimball you gay faggot,0,0,1,1,0,0,1,0,0
isis taking control of a country is a bit like liam neeson being raped by tom hanks,0,1,0,1,0,0,0,0,1
whites are being replaced it a white holocaust but it real,0,1,0,1,0,0,0,0,1
thank you white person for telling me that i should not get upset about people making excuses for why a black man was murdered bless your heart,0,1,0,1,0,0,0,0,1
this nigga supports homo jews diddling kids,1,0,0,1,1,0,1,0,0
show this as an expected requirement for immigrants to stay in the us and watch them leave just explain that this is what the schools turn your kids into and end a of illegal immigrants,0,0,1,1,0,0,0,1,0
when someone ask me if i love immigrants i say yes when they are in horizontal position and cold,1,0,0,1,0,0,0,1,0
dick stockton has been fooled into thinking a white hot dog wrapper blowing in the wind is a penalty flag multiple times today,0,1,0,1,0,0,0,0,1
but nokuthula is the first barrier to their businesses so they are protecting nokuthula so we can see that having white protection gives you ultimate protection you know the house negro shows of benefits of being one mugabe was for the people gaddafi for africa hani for africa,0,1,0,1,0,0,0,0,1
and all the animals that were killed people were horrified for their bears and coons and they call themselves liberals the definition of a liberal and feminist have changed keep your old dictionaries,0,1,0,1,0,0,0,0,1
ion expect a blunt a deal money help nothing from a nigga just show me the same love i showed and expect shit from me like you a bitch,0,1,0,1,0,0,0,0,1
lot of dems want to throw open the borders so immigrant votes can give the party a permanent lock on political power sordid and destructive,0,1,0,0,0,0,0,0,1
negerball has went full ghetto apefreaka looking forward to the before after photos like dietriot to today,0,1,0,1,1,0,0,0,0
how it takes resources to help refugees settle in the country but the same resources that could be used for them is being used to accommodate illegal immigrants,0,1,0,1,0,0,0,0,1
these hoes for errbodyy,0,0,1,1,0,0,1,0,0
yea both sides need to stop being retarded,0,1,0,1,0,0,0,0,1
people should know by now that milspec means it shittier than what you can buy commercially oh well tacticool gear queers with too much money are the firearms industry gift that keeps on giving,0,1,0,1,0,0,1,0,0
best or not asians are not whites and they will bring all the negative and alien externalities with them that make white people feel like strangers in their own land,1,0,0,0,1,0,0,0,0
nude pictures of older women xl sex toys online sex chat sites top celebrity boobs,0,1,0,1,0,0,0,0,1
the only way this is fair is if their dick gets blown off in battle just curious can women join just to get a boob job that would be the equivalent w out the sex change,0,0,1,1,0,0,1,0,0
insanity but the millennial fools will suck it up yeah little white suburban snowflakes females go fuck a nigger for equality lmfao fools die,1,0,0,1,1,0,0,0,0
you must be retarded it jews at the top of these media organizations do not make me produce a list this is very easy to verify,0,0,1,1,0,1,0,0,0
to all my islam followers i love you and your life matters stay safe,0,1,0,0,0,1,0,0,0
ah the redneck revolt kids aka communists,0,0,1,0,1,0,0,0,0
big smile on my face when i think about all the college snowflakes who were so close to banning free speech persecuting white males for being white and male popularizing feminism lesbianism and forwarding the end of times how suddenly shitty their lives must be speakfreely maga gab,0,0,1,1,0,0,1,0,0
hey hawaii vote this fake dem nazi cunt out of office the world is watching and we are holding you accountable gabbard,1,0,0,1,0,0,1,0,0
in the last week alone the obama administration blocked future oil and gas leases in swaths of the arctic and atlantic oceans granted a record number of pardons and commutations for a single day and scrapped a dormant registry for male immigrants from a list of largely muslim countries,0,1,0,1,0,0,0,0,0
muslim girls express how horny they are by saying they can t wait to have kids,0,1,0,1,0,1,0,0,0
what do you think is more likely the story or a nigger lied,1,0,0,1,1,0,0,0,0
when did anyone say pansexual was a gender lmfao you stupid fucking moron learn what the fuck you are talking about before coming to my mentions again you uneducated nazi cunt,0,0,1,1,1,0,0,0,0
it okay to be an illegal immigrant,0,1,0,0,0,0,0,1,0
why can not it be neighborhood or local friends with these people it always has to be our community the word shares a root with communism and that no accident ellen i am not part of your dyke community,0,1,0,1,0,0,1,0,0
hey nigger stop with same post over and over,1,0,0,1,1,0,0,0,0
wewereneverasked daca is clearly not consensual it is abusive to legal immigrants and citizens doctor sekzi,0,1,0,0,0,0,0,1,0
you will blame jews you will blame mgtow you will blame black people you will blame gay people you will blame literally anybody but your dear women you are just as cucked as the sjws are,0,0,1,1,0,0,0,0,1
there is definitely thousands of young black men being killed each year i do not think its nazis tariq wonder who it could be,0,0,1,1,0,0,0,0,0
they say we all siberian immigrants and that they are the real natives mess lol,0,1,0,0,0,0,0,1,0
i got to get on you for you are own good do your hw swole lips make some beats double barrel nostril boy and go get white ass,0,1,0,1,0,0,0,0,1
kc missouri is the place to go on vacation one does not have to contend with ghetto trash what a relief,0,0,1,0,1,0,0,0,0
you are a be rollin margiela fuckin this nigger slammin,0,1,0,1,1,0,0,0,0
you negroes never take your destiny into your own hands and just keep waiting for others to change your lot in life,0,0,1,1,1,0,0,0,0
i adore the plump all white one reminds me of one of my boys i tried one of those kobo sp dog treat dispensers and my lot just ate through it to get at the treats lol love how happy they all look x,0,1,0,1,0,0,0,0,1
i like those too but also bmth sou tipo basic white boy,0,1,0,1,0,0,0,0,1
